PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52,23.03,0.51,-3.13,23.36,24.23,-1.40,-4.94,22.35,25.42,22.31,25.42,69,22.95
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87,20.92,0.05,-4.92,21.49,22.90,-2.67,-8.66,19.87,25.11,19.87,25.11,20,20.67
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05%,25.87,21.11,20.86,-0.25,-5.01,21.35,22.71,-2.28,-8.14,19.99,25.00,19.99,25.06,20,20.61
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.60%,26.96,22.76,22.80,0.04,-4.16,23.36,24.39,-2.38,-6.51,20.85,25.70,20.85,26.10,20,22.53
PSA PRI,PSA,,13.5,12/12/2024,,,0.30,4.88%,25.80,19.44,19.67,0.23,-6.13,20.33,21.65,-3.25,-9.16,19.08,23.72,19.08,23.94,20,19.44
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.70%,25.08,18.25,18.93,0.68,-6.15,19.53,20.74,-3.08,-8.72,18.33,23.21,17.94,23.21,20,18.70
PSA PRK,PSA,,13.5,12/12/2024,,,0.30,4.75%,25.80,18.40,19.31,0.91,-6.49,19.75,20.93,-2.25,-7.74,18.57,23.21,18.16,23.21,20,19.08
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63%,24.84,18.17,18.86,0.69,-5.98,19.31,20.43,-2.35,-7.70,17.52,22.89,17.52,22.89,20,18.63
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13%,22.79,16.05,16.85,0.80,-5.94,17.31,18.41,-2.68,-8.46,16.28,20.79,15.82,20.79,20,16.65
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88%,21.02,15.12,15.76,0.64,-5.26,16.21,17.14,-2.76,-8.08,15.36,19.23,14.90,19.23,20,15.57
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.90%,20.29,15.53,15.90,0.37,-4.39,16.29,17.21,-2.42,-7.63,15.40,19.13,15.10,19.14,20,15.71
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.88,15.54,16.10,0.56,-4.78,16.68,17.71,-3.46,-9.08,15.39,19.99,15.37,19.99,20,15.91
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95%,20.84,15.31,15.89,0.58,-4.95,16.39,17.41,-3.05,-8.72,15.43,19.47,15.17,19.47,20,15.70
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.78,15.59,16.12,0.53,-4.66,16.64,17.77,-3.11,-9.26,15.68,20.16,15.38,20.16,20,15.93
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.10%,21.15,15.83,16.54,0.71,-4.61,17.04,18.17,-2.95,-9.00,14.18,20.47,14.18,20.47,20,16.34
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35%,19.55,15.21,17.30,2.09,-2.25,16.32,17.67,6.02,-2.09,14.58,21.54,14.04,21.54,53,17.16
REGCO,REG,,NR,10/16/2024,,,0.37,5.88%,,21.85,22.77,0.92,,22.47,22.72,1.33,0.20,21.43,24.70,21.20,24.90,53,22.62
REGCP,REG,,NR,10/16/2024,,,0.39,6.25%,,23.10,23.32,0.22,,23.47,23.73,-0.64,-1.74,21.88,25.63,21.88,25.63,53,23.16
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88%,25.39,21.16,23.03,1.87,-2.36,23.10,22.76,-0.30,1.18,22.21,24.57,20.60,24.57,21,22.75
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63%,26.10,20.05,21.85,1.80,-4.25,21.75,21.95,0.44,-0.48,20.13,24.54,19.71,24.54,83,21.82
RF PRE,RF,,10,11/27/2024,,,0.28,4.45%,20.69,15.45,17.41,1.96,-3.28,17.66,18.23,-1.42,-4.50,16.41,19.98,14.16,19.98,5,17.15
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75%,25.11,20.71,21.11,0.40,-4.00,22.03,23.26,-4.20,-9.26,20.80,25.08,20.43,25.10,5,20.77
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.20%,20.02,15.35,15.60,0.25,-4.42,16.18,17.43,-3.57,-10.51,14.26,18.97,14.26,19.46,5,15.35
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.10%,20.73,17.20,16.95,-0.25,-3.78,17.70,19.62,-4.23,-13.61,16.32,21.69,16.32,21.70,21,16.70
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.00%,20.24,16.94,16.54,-0.40,-3.70,17.32,19.21,-4.51,-13.89,15.98,21.09,15.98,21.32,21,16.30
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95%,25.94,22.65,24.75,2.10,-1.19,25.05,25.18,-1.21,-1.69,24.25,25.71,22.29,25.71,81,24.71
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45%,23.40,16.75,19.13,2.38,-4.27,19.47,20.38,-1.75,-6.12,18.33,22.60,16.63,22.60,81,19.10
SF PRB,SF,,8,12/2/2024,,,0.39,6.25%,26.94,22.01,24.30,2.29,-2.64,24.19,24.57,0.44,-1.10,22.22,25.44,21.56,25.73,10,23.95
SF PRC,SF,,8,12/2/2024,,,0.38,6.13%,27.00,22.12,23.68,1.56,-3.32,24.01,24.53,-1.37,-3.45,21.81,26.47,21.27,26.47,10,23.34
SF PRD,SF,,8,12/2/2024,,,0.28,4.50%,20.54,15.64,18.12,2.48,-2.42,17.70,18.62,2.34,-2.70,15.85,21.74,15.00,21.74,10,17.87
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13%,23.75,20.40,20.87,0.47,-2.88,20.86,21.73,0.05,-3.96,19.14,24.27,19.14,24.27,35,20.64
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.70%,22.98,19.43,19.86,0.43,-3.12,19.77,20.47,0.47,-2.98,17.96,22.79,17.96,22.79,35,19.64
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.60%,20.74,15.48,17.29,1.81,-3.45,17.79,18.45,-2.79,-6.31,16.82,20.30,15.17,20.30,5,17.02
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.50%,25.67,18.15,22.05,3.90,-3.62,22.66,22.77,-2.70,-3.15,21.09,24.87,15.26,24.87,25,21.75
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25%,25.69,20.75,21.59,0.84,-4.10,21.94,23.09,-1.62,-6.51,21.10,25.07,20.35,25.07,7,21.29
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95%,23.86,19.45,20.11,0.66,-3.75,20.65,21.84,-2.62,-7.94,19.26,24.55,19.26,24.55,66,20.03
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.20%,20.96,17.42,17.61,0.19,-3.35,18.27,19.62,-3.61,-10.22,17.28,22.35,17.28,22.35,49,17.49
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.90%,26.15,21.87,24.09,2.22,-2.06,24.31,24.34,-0.89,-1.02,23.20,25.39,21.36,25.39,62,23.97
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75%,25.24,21.16,20.50,-0.66,-4.74,21.97,23.42,-6.69,-12.48,19.60,25.24,19.60,25.47,21,20.22
STT PRG,STT,,13,11/27/2024,,,0.33,5.35%,26.90,21.63,22.28,0.65,-4.62,23.10,24.00,-3.54,-7.17,21.62,25.16,21.42,25.16,5,21.97
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63%,22.14,15.28,17.81,2.53,-4.33,18.46,19.26,-3.54,-7.53,16.19,21.94,14.51,21.94,67,17.72
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.00%,23.49,18.31,20.11,1.80,-3.38,20.56,21.21,-2.17,-5.19,19.15,22.78,18.20,22.80,46,19.96
T PRC,T,,10,1/7/2025,2/18/2025,,0.30,4.75%,21.55,17.25,19.13,1.88,-2.42,19.39,20.08,-1.32,-4.71,18.20,21.71,17.02,21.71,46,18.98
TBB,T,BB,12,10/17/2024,,,0.33,5.35%,24.98,20.32,22.08,1.76,-2.90,23.35,23.54,-5.44,-6.22,21.75,24.90,20.26,24.90,54,21.95
TBC,T,BB,12,10/17/2024,8/1/2023,,0.35,5.63%,,,,,,,,,,,,,,,
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75%,24.50,16.01,20.03,4.02,-4.47,20.21,20.26,-0.91,-1.12,18.11,22.71,15.52,22.71,10,19.71
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63%,24.25,14.26,21.02,6.76,-3.23,20.93,20.64,0.44,1.84,18.71,22.88,12.00,22.88,21,20.71
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.00%,22.28,12.88,18.77,5.89,-3.51,18.34,18.31,2.32,2.49,16.25,20.48,10.79,20.48,21,18.48
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25%,25.20,19.78,21.01,1.23,-4.19,21.76,22.53,-3.44,-6.75,19.69,24.83,19.43,24.83,76,20.96
TFC PRR,TFC,,11.5,11/8/2024,,,0.30,4.75%,22.49,17.71,18.84,1.13,-3.65,19.79,20.39,-4.80,-7.60,18.41,22.62,17.29,22.62,76,18.79
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88%,25.95,21.62,21.43,-0.19,-4.52,22.35,23.41,-4.10,-8.48,19.76,25.67,19.76,25.67,14,21.07
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75%,23.79,17.80,18.80,1.00,-4.99,19.18,20.60,-1.99,-8.75,16.90,23.30,16.90,23.30,14,18.50
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25%,18.83,13.81,18.07,4.26,-0.76,17.79,18.00,1.56,0.40,16.01,20.00,13.00,20.00,24,17.78
TY PR,TY,,NR,12/5/2024,,,0.31,5.00%,50.11,43.50,43.98,0.48,-6.13,44.83,45.84,-1.90,-4.07,43.55,49.16,42.00,49.19,13,43.71
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25%,26.19,21.92,24.56,2.64,-1.63,24.55,24.92,0.04,-1.43,23.13,26.05,21.49,26.05,7,24.20
USB PRP,USB,,13.5,12/30/2024,,,0.34,5.50%,25.25,19.75,22.76,3.01,-2.49,23.25,23.96,-2.12,-4.99,21.46,25.43,19.00,25.43,38,22.56
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75%,19.57,13.50,15.42,1.92,-4.15,15.92,16.78,-3.16,-8.09,14.66,18.60,13.32,18.60,35,15.28
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.00%,21.05,14.57,16.40,1.83,-4.65,17.01,17.89,-3.57,-8.35,15.62,20.35,14.24,20.35,35,16.25
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.50%,22.08,16.44,18.71,2.27,-3.37,19.39,20.32,-3.52,-7.91,18.07,22.97,16.22,22.97,35,18.54
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25%,24.16,16.77,23.84,7.07,-0.32,23.62,23.05,0.95,3.41,22.00,24.20,14.86,24.80,7,23.48
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.50%,21.80,14.93,22.09,7.16,0.29,21.88,21.50,0.96,2.73,20.25,23.22,13.00,23.80,7,21.78
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.50%,21.75,15.44,22.20,6.76,0.45,21.92,21.51,1.28,3.20,20.30,23.50,12.95,23.70,7,21.89
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.40%,24.16,13.75,17.65,3.90,-6.51,17.57,17.31,0.43,1.97,15.25,19.46,11.36,19.46,21,17.39
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25%,23.40,13.71,17.08,3.37,-6.32,17.14,16.86,-0.37,1.30,14.75,18.99,11.15,18.99,21,16.83
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25%,22.92,13.76,17.00,3.24,-5.92,17.22,16.93,-1.29,0.41,14.81,18.97,11.20,18.97,21,16.75
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.50%,19.70,11.60,14.41,2.81,-5.29,14.87,14.85,-3.08,-2.98,12.51,17.34,10.03,17.34,21,14.20
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.30,4.88%,22.20,12.60,16.55,3.95,-5.65,16.50,16.87,0.29,-1.90,15.44,19.75,12.02,19.75,35,16.37
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25%,24.40,15.52,19.30,3.78,-5.10,19.63,20.32,-1.67,-5.01,18.02,22.54,15.10,22.54,10,19.01
WFC PRA,WFC,,11,11/27/2024,12/15/2025,,0.29,4.70%,21.54,17.53,18.68,1.15,-2.86,19.49,20.35,-4.17,-8.19,18.16,22.21,17.36,22.21,5,18.41
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38%,20.19,16.05,17.50,1.45,-2.69,18.28,19.19,-4.29,-8.82,16.92,21.18,15.89,21.18,5,17.25
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25%,19.89,15.56,17.06,1.50,-2.83,17.81,18.70,-4.21,-8.79,16.53,20.80,15.47,20.80,5,16.80
WFC PRY,WFC,,11,11/27/2024,,,0.35,5.63%,25.36,21.19,23.02,1.83,-2.34,23.63,24.08,-2.58,-4.41,22.00,25.36,21.08,25.36,5,22.69
WFC PRZ,WFC,,11,11/27/2024,,,0.30,4.75%,21.80,17.49,18.98,1.49,-2.82,19.78,20.47,-4.04,-7.30,18.45,22.29,17.33,22.29,5,18.70
WRB PRE,WRB,BB,11.5,12/13/2024,,,0.36,5.70%,25.59,21.77,21.67,-0.10,-3.92,22.39,23.79,-3.23,-8.92,20.43,25.62,20.43,25.68,21,21.39
WRB PRF,WRB,BB,11.5,12/13/2024,,,0.32,5.10%,24.51,18.93,19.40,0.47,-5.11,20.22,21.49,-4.03,-9.72,19.00,24.54,18.79,24.54,21,19.15
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25%,21.25,17.35,16.37,-0.98,-4.88,17.24,18.67,-5.07,-12.32,15.95,21.10,15.95,22.29,21,16.16
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13%,20.85,15.60,15.97,0.37,-4.88,16.98,18.24,-5.96,-12.44,15.55,21.15,15.40,21.15,21,15.77
