"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"VNO PRL","VNO","","10.5","12/13/2024","","","0.340000","5.40%","24.160000","13.750000","17.650000","3.900000","-6.510000","17.570000","17.310000","0.430000","1.970000","15.250000","19.460000","11.360000","19.460000","21.000000","17.390000","2.140000","-2.070000","42.737921","16.852155","28.144330","30.468468","-6.770000","3.640000","80.690537","39.082673","-2.070000","6.030000","29.708029","36.666667"
"VNO PRM","VNO","","10.5","12/13/2024","","","0.330000","5.25%","23.400000","13.710000","17.080000","3.370000","-6.320000","17.140000","16.860000","-0.370000","1.300000","14.750000","18.990000","11.150000","18.990000","21.000000","16.830000","2.080000","-2.160000","47.423133","19.776323","29.793814","31.765766","-6.570000","3.120000","78.644501","43.793884","-2.160000","5.680000","31.021898","39.873998"
"VNO PRN","VNO","","10.5","12/13/2024","","","0.330000","5.25%","22.920000","13.760000","17.000000","3.240000","-5.920000","17.220000","16.930000","-1.290000","0.410000","14.810000","18.970000","11.200000","18.970000","21.000000","16.750000","1.940000","-2.220000","52.811127","23.660666","33.642612","32.630631","-6.170000","2.990000","74.552430","44.971687","-2.220000","5.550000","31.897810","41.065292"
"VNO PRO","VNO","","10.5","12/13/2024","","","0.280000","4.50%","19.700000","11.600000","14.410000","2.810000","-5.290000","14.870000","14.850000","-3.080000","-2.980000","12.510000","17.340000","10.030000","17.340000","21.000000","14.200000","1.690000","-3.140000","63.294290","38.456083","40.515464","45.891892","-5.500000","2.600000","67.698210","48.505096","-3.140000","4.170000","45.328467","53.711340"
"WAFDP","WAFD","","10","12/27/2024","4/15/2026","","0.300000","4.88%","22.200000","12.600000","16.480000","3.950000","-5.650000","16.500000","16.870000","0.290000","-1.900000","15.440000","19.750000","12.020000","19.750000","35.000000","16.370000","0.930000","-3.380000","43.557833","33.742499","61.408935","49.351351","-5.830000","3.770000","71.074169","37.904870","-3.380000","4.350000","48.832117","52.061856"
"WBS PRF","WBS","","10","12/2/2024","","","0.330000","5.25%","24.400000","15.520000","19.310000","3.780000","-5.100000","19.630000","20.320000","-1.670000","-5.010000","18.020000","22.540000","15.100000","22.540000","10.000000","19.010000","0.990000","-3.530000","55.036603","47.315876","59.759450","51.513514","-5.390000","3.490000","66.572890","40.441676","-3.530000","3.910000","51.021898","56.093929"
"WFC PRA","WFC","","11","11/27/2024","12/15/2025","","0.290000","4.70%","21.540000","17.530000","18.680000","1.150000","-2.860000","19.490000","20.350000","-4.170000","-8.190000","18.160000","22.210000","17.360000","22.210000","5.000000","18.410000","0.250000","-3.800000","69.677892","61.194763","80.103093","55.405405","-3.130000","0.880000","43.452685","64.088335","-3.800000","1.050000","54.963504","82.302405"
"WFC PRC","WFC","","11","11/27/2024","","","0.270000","4.38%","20.190000","16.050000","17.500000","1.450000","-2.690000","18.280000","19.190000","-4.290000","-8.820000","16.920000","21.180000","15.890000","21.180000","5.000000","17.250000","0.330000","-3.930000","70.380673","63.944354","77.903780","57.279279","-2.940000","1.200000","41.508951","61.189128","-3.930000","1.360000","56.861314","79.461627"
"WFC PRD","WFC","","11","11/27/2024","","","0.270000","4.25%","19.890000","15.560000","17.060000","1.500000","-2.830000","17.810000","18.700000","-4.210000","-8.790000","16.530000","20.800000","15.470000","20.800000","5.000000","16.800000","0.270000","-4.000000","69.912152","63.813421","79.553265","58.288288","-3.090000","1.240000","43.043478","60.826727","-4.000000","1.330000","57.883212","79.736541"
"WFC PRY","WFC","","11","11/27/2024","","","0.350000","5.63%","25.360000","21.190000","23.020000","1.830000","-2.340000","23.630000","24.080000","-2.580000","-4.410000","22.000000","25.360000","21.080000","25.360000","5.000000","22.690000","0.690000","-2.670000","60.366032","44.697218","68.006873","39.117117","-2.670000","1.500000","38.746803","58.471121","-2.670000","1.610000","38.467153","77.170676"
"WFC PRZ","WFC","","11","11/27/2024","","","0.300000","4.75%","21.800000","17.490000","18.980000","1.490000","-2.820000","19.780000","20.470000","-4.040000","-7.300000","18.450000","22.290000","17.330000","22.290000","5.000000","18.700000","0.250000","-3.590000","68.916545","57.310420","80.103093","52.378378","-3.100000","1.210000","43.145780","61.098528","-3.590000","1.370000","51.897810","79.369989"
"WRB PRE","WRB","BB","11.5","12/13/2024","","","0.360000","5.70%","25.590000","21.770000","21.670000","-0.100000","-3.920000","22.390000","23.790000","-3.230000","-8.920000","20.430000","25.620000","20.430000","25.680000","21.000000","21.390000","0.960000","-4.230000","64.172767","64.380797","60.584192","61.603604","-4.200000","-0.380000","54.398977","75.503964","-4.290000","0.960000","62.116788","83.127148"
"WRB PRF","WRB","BB","11.5","12/13/2024","","","0.320000","5.10%","24.510000","18.930000","19.400000","0.470000","-5.110000","20.220000","21.490000","-4.030000","-9.720000","19.000000","24.540000","18.790000","24.540000","21.000000","19.150000","0.150000","-5.390000","68.857980","67.872340","82.852234","78.324324","-5.360000","0.220000","66.265985","70.067950","-5.390000","0.360000","78.175182","88.625430"
"WRB PRG","WRB","BB","11.5","12/13/2024","","","0.270000","4.25%","21.250000","17.350000","16.370000","-0.980000","-4.880000","17.240000","18.670000","-5.070000","-12.320000","15.950000","21.100000","15.950000","22.290000","21.000000","16.160000","0.210000","-4.940000","74.948755","79.219858","81.202749","71.837838","-5.090000","-1.190000","63.503836","82.842582","-6.130000","0.210000","88.978102","90.000000"
"WRB PRH","WRB","BB","11.5","12/13/2024","","","0.260000","4.13%","20.850000","15.600000","15.970000","0.370000","-4.880000","16.980000","18.240000","-5.960000","-12.440000","15.550000","21.150000","15.400000","21.150000","21.000000","15.770000","0.220000","-5.380000","80.161054","79.743590","80.927835","78.180180","-5.080000","0.170000","63.401535","70.520951","-5.380000","0.370000","78.029197","88.533792"
