PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.95,45.87,72.74,15.79,-0.79,2.8,17.15,72.0,55286.0,56408.0,31428.0,47708.0,42.16,,,,346.62,1.0,6.0
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.95,45.87,72.74,15.79,-0.79,2.8,17.15,72.0,55286.0,56408.0,31428.0,47708.0,42.16,,,,346.62,1.0,6.0
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.95,45.87,72.74,15.79,-0.79,2.8,17.15,72.0,55286.0,56408.0,31428.0,47708.0,42.16,,,,346.62,1.0,6.0
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.95,45.87,72.74,15.79,-0.79,2.8,17.15,72.0,55286.0,56408.0,31428.0,47708.0,42.16,,,,346.62,1.0,6.0
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.95,45.87,72.74,15.79,-0.79,2.8,17.15,72.0,55286.0,56408.0,31428.0,47708.0,42.16,,,,346.62,1.0,6.0
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.76,54.16,62.67,37.17,-2.16,1.73,33.49,78.11,21293.0,20456.0,24631.0,22126.0,42.16,,,,369.24,1.0,6.0
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.76,54.16,62.67,37.17,-2.16,1.73,33.49,78.11,21293.0,20456.0,24631.0,22126.0,42.16,,,,369.24,1.0,6.0
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.76,54.16,62.67,37.17,-2.16,1.73,33.49,78.11,21293.0,20456.0,24631.0,22126.0,42.16,,,,369.24,1.0,6.0
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.76,54.16,62.67,37.17,-2.16,1.73,33.49,78.11,21293.0,20456.0,24631.0,22126.0,42.16,,,,369.24,1.0,6.0
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.76,54.16,62.67,37.17,-2.16,1.73,33.49,78.11,21293.0,20456.0,24631.0,22126.0,42.16,,,,369.24,1.0,6.0
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.16,53.03,74.0,30.83,-1.7,0.54,28.0,84.91,47773.0,47891.0,23804.0,39823.0,42.16,,,,383.34,1.0,0.0
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.16,53.03,74.0,30.83,-1.7,0.54,28.0,84.91,47773.0,47891.0,23804.0,39823.0,42.16,,,,383.34,1.0,0.0
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.16,53.03,74.0,30.83,-1.7,0.54,28.0,84.91,47773.0,47891.0,23804.0,39823.0,42.16,,,,383.34,1.0,0.0
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.16,53.03,74.0,30.83,-1.7,0.54,28.0,84.91,47773.0,47891.0,23804.0,39823.0,42.16,,,,383.34,1.0,0.0
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.16,53.03,74.0,30.83,-1.7,0.54,28.0,84.91,47773.0,47891.0,23804.0,39823.0,42.16,,,,383.34,1.0,0.0
ATLCL,ATLCL,ATLC,,,8.0,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,15.11,Creditservices,,51.0,,,,,,24.15,2.54,-0.37,24.05,23.5,0.4,2.78,22.9,24.76,20.62,24.76,23.99,1.09,-0.77,46.08,36.87,64.11,18.0,-0.77,3.37,16.92,68.74,5239.0,6322.0,8386.0,6649.0,46.83,,,,328.17,1.0,9.0
ATLCP,ATLCP,ATLC,,,8.0,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,15.11,Creditservices,,9.0,,,,,,23.21,2.6,-0.94,23.24,23.04,-0.14,0.72,21.66,24.5,17.99,24.8,22.78,1.12,-1.72,48.69,44.17,63.57,31.1,-2.02,4.79,31.82,60.63,3966.0,3787.0,4386.0,4046.0,46.83,,,,350.1,1.0,2.0
ATLCZ,ATLCZ,ATLC,,BB,8.0,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,15.11,Creditservices,,41.0,,,,,,25.21,,,24.98,24.97,0.9,0.98,23.4,25.5,23.4,25.5,24.89,1.49,-0.61,43.66,43.25,56.92,15.79,-0.61,1.49,15.01,79.49,27400.0,22935.0,14377.0,21571.0,47.77,,,,340.17,1.0,9.0
AUB PRA,AUB-A,AUB,,,8.0,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,142.37,Regionalbank,,85.0,,,,,,24.45,5.2,-1.69,24.61,24.2,-0.64,1.01,22.86,25.93,19.21,25.93,24.43,1.57,-1.5,51.11,43.14,55.48,28.07,-1.5,5.22,25.62,58.17,13976.0,11837.0,10727.0,12180.0,51.4,,,,362.07,1.0,6.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.38,70.89,63.39,56.48,-3.56,2.42,50.18,74.17,16697.0,20911.0,13169.0,16926.0,80.51,51.83,54.15,75.47,534.62,1.0,5.0
BANC PRF,BANC-F,BANC,NFF,,8.0,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,169.33,Regionalbank,,88.0,,,,,,24.72,,,24.85,24.28,-0.53,1.8,23.39,25.6,20.94,25.6,24.71,1.32,-0.89,50.58,40.34,59.98,19.66,-0.89,3.77,18.35,66.46,51211.0,38839.0,23373.0,37808.0,50.96,,,,361.14,1.0,5.0
BANFP,BANFP,BANF,,TP,8.0,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.0,33.23,Regionalbank,,37.0,,,,,,26.24,-0.76,-1.29,26.06,25.82,0.68,1.62,25.43,29.45,24.7,29.45,25.97,0.54,-3.48,44.73,40.98,74.0,55.38,-3.48,1.27,49.23,80.74,767.0,550.0,337.0,551.0,62.58,,,,393.53,1.0,1.0
BC PRA,BC-A,BC,,BB,11.5,06/29/2025,10/15/2023,10/15/2048,0.4,6.50%,26.22,22.5,65.69,Consumercyclical,,39.0,,,,,,23.15,0.65,-3.07,24.12,24.52,-4.04,-5.58,22.58,25.43,22.09,26.39,22.92,0.34,-2.51,67.56,66.5,77.6,42.0,-3.47,0.83,49.11,83.26,7666.0,7838.0,11216.0,8907.0,49.59,,,,455.04,1.0,5.0
BC PRC,BC-C,BC,,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,39.0,,,,,,22.88,0.55,-3.11,23.83,24.4,-4.0,-6.22,22.0,25.5,21.76,25.99,22.66,0.66,-2.84,67.36,68.77,71.84,46.55,-3.33,0.9,47.44,82.86,12433.0,13734.0,18951.0,15039.0,49.59,,,,459.15,1.0,5.0
BK PRK,BK-K,BK,NFF,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,15.0,,,,,,25.51,,,,,,,24.54,25.83,24.54,25.83,25.17,0.63,-0.66,44.14,40.14,72.38,16.48,-0.66,0.63,15.6,84.4,277559.0,277559.0,98673.0,217930.0,80.47,,,,472.44,1.0,0.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.04,74.58,75.08,45.59,-2.95,1.24,42.91,80.91,5942.0,4098.0,2465.0,4168.0,80.51,51.83,54.15,75.47,570.36,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.09,71.53,71.3,44.21,-2.67,1.83,39.57,77.54,15116.0,14791.0,13684.0,14530.0,80.51,51.83,54.15,75.47,558.14,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.15,64.27,59.8,44.07,-2.66,2.03,39.45,76.4,17375.0,18180.0,14003.0,16520.0,80.51,51.83,54.15,75.47,518.94,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0
BOH PRB,BOH-B,BOH,,,9.5,07/14/2025,8/1/2029,NONE,0.5,8.00%,,,39.66,Regionalbank,,54.0,,,,,,25.62,,,,,,,24.81,27.13,24.81,27.13,25.42,0.61,-1.71,44.14,40.14,72.74,30.97,-1.71,0.61,28.12,84.51,20907.0,22552.0,17952.0,20471.0,54.95,42.19,53.35,72.02,366.15,1.0,0.0
BPOPM,BPOPM,BPOP,,TP,7.0,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.2,24.51,69.37,Regionalbank,,84.0,,,,,,25.6,1.08,-1.61,25.52,25.52,0.29,0.28,24.89,26.11,24.38,26.25,25.58,0.69,-0.53,46.61,45.73,71.3,14.69,-0.67,1.2,15.72,81.14,1743.0,1959.0,805.0,1502.0,64.0,,,,390.43,1.0,1.0
